Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,8,2110,1564,1243,153,478,0,68,205,24,108
D:\KMUTT Project\trunk\simple-mrp\simple-mrp-war\src\java\simplemrp\mbean\co,8,2110,1564,1243,153,478,0,68,205,24,108
